Detector ExtrectorTime;
Detector ; Frame 1 ; Frame 2 ; Frame 3 ; Frame 4; Frame 5 ; Frame 6 ; Frame 7 ;Frame 8 ; Frame 9 ; Frame 10;
HARRIS  ; 15,521200000000002 ; 16,063979999999997 ; 14,234039999999998 ; 14,245999999999999 ; 14,79094 ; 29,19538 ; 13,81762 ; 17,03842 ; 14,7488 ; 20,189439999999998 ;
 SHITOMASI  ; 12,377999999999998 ; 12,094199999999999 ; 11,36928 ; 12,4541 ; 11,52106 ; 11,23822 ; 11,48228 ; 11,4075 ; 11,58568 ; 12,2251 ;
 ORB  ; 7,5342839999999995 ; 7,54773 ; 7,4608859999999995 ; 7,481234000000001 ; 7,3867840000000005 ; 7,464906000000001 ; 7,4689299999999985 ; 7,362754 ; 7,529568 ; 7,5057540000000005 ;
 SIFT  ; 121,00125 ; 117,72515 ; 123,68025 ; 121,2995 ; 113,89304999999999 ; 115,4631 ; 116,48347500000001 ; 114,73682500000001 ; 114,409575 ; 116,623275 ;
 FAST  ; 2,279136 ; 2,158774 ; 2,184962 ; 2,286494 ; 2,1719 ; 2,19923 ; 2,253644 ; 2,2434179999999997 ; 2,290458 ; 2,302568 ;
 BRISK  ; 41,371480000000005 ; 41,281580000000005 ; 41,629560000000005 ; 41,25998 ; 41,450579999999995 ; 41,484120000000004 ; 41,081599999999995 ; 40,14226 ; 41,130140000000004 ; 40,7801 ;
 AKAZE  ; 68,38625 ; 68,21591666666667 ; 67,78166666666665 ; 67,55713333333334 ; 69,11641666666667 ; 68,45601666666668 ; 66,4593 ; 67,97426666666668 ; 68,14576666666667 ; 69,27449999999999 ;
 ;
;
 Detector Extrector Key Point count;
Detector ; Frame 1 ; Frame 2 ; Frame 3 ; Frame 4; Frame 5 ; Frame 6 ; Frame 7 ;Frame 8 ; Frame 9 ; Frame 10;
HARRIS  ; 115 ; 98 ; 113 ; 121 ; 160 ; 383 ; 85 ; 210 ; 171 ; 281 ;
 SHITOMASI  ; 1370 ; 1301 ; 1361 ; 1358 ; 1333 ; 1284 ; 1322 ; 1366 ; 1389 ; 1339 ;
 ORB  ; 500 ; 500 ; 500 ; 500 ; 500 ; 500 ; 500 ; 500 ; 500 ; 500 ;
 SIFT  ; 1438 ; 1371 ; 1380 ; 1335 ; 1305 ; 1370 ; 1396 ; 1382 ; 1463 ; 1422 ;
 FAST  ; 5063 ; 4952 ; 4863 ; 4840 ; 4856 ; 4899 ; 4870 ; 4868 ; 4996 ; 4997 ;
 BRISK  ; 2757 ; 2777 ; 2741 ; 2735 ; 2757 ; 2695 ; 2715 ; 2628 ; 2639 ; 2672 ;
 AKAZE  ; 1351 ; 1327 ; 1311 ; 1351 ; 1360 ; 1347 ; 1363 ; 1331 ; 1357 ; 1331 ;
 ;
;
HARRIS Descriptor Extrection Time ;
Descriptor ; Frame 1 ; Frame 2 ; Frame 3 ; Frame 4; Frame 5 ; Frame 6 ; Frame 7 ;Frame 8 ; Frame 9 ; Frame 10;
BRISK ; 0,586982 ; 1,37411 ; 1,19264 ; 1,37116 ; 1,33096 ; 0,835524 ; 1,20184 ; 1,44085 ; 1,35865 ; 1,40321 ; ;
BRIEF ; 0,847228 ; 0,720727 ; 0,802519 ; 0,858183 ; 0,845996 ; 0,980295 ; 0,233398 ; 0,934825 ; 0,870679 ; 0,99608 ; ;
ORB ; 1,15252 ; 1,18573 ; 0,790405 ; 0,771691 ; 1,03871 ; 0,975676 ; 0,997512 ; 1,07351 ; 0,879815 ; 0,943654 ; ;
FREAK ; 40,9434 ; 38,609 ; 38,1063 ; 39,0671 ; 38,6283 ; 40,4355 ; 38,0115 ; 38,4772 ; 38,363 ; 39,6466 ; ;
SIFT ; 15,7566 ; 13,7665 ; 14,3122 ; 14,4121 ; 13,0839 ; 14,468 ; 13,7394 ; 14,2575 ; 13,8196 ; 14,0711 ; ;
;
;
SHITOMASI Descriptor Extrection Time ;
Descriptor ; Frame 1 ; Frame 2 ; Frame 3 ; Frame 4; Frame 5 ; Frame 6 ; Frame 7 ;Frame 8 ; Frame 9 ; Frame 10;
BRISK ; 1,54723 ; 1,60829 ; 1,4923 ; 1,50875 ; 1,49585 ; 1,49688 ; 1,50202 ; 1,62979 ; 1,42684 ; 1,59162 ; ;
BRIEF ; 0,641329 ; 0,578545 ; 0,80668 ; 0,623727 ; 0,690661 ; 0,573627 ; 0,76926 ; 0,650404 ; 0,574453 ; 0,652672 ; ;
ORB ; 1,00849 ; 1,19102 ; 1,00956 ; 1,05893 ; 0,946632 ; 0,804046 ; 0,943068 ; 1,04808 ; 0,995391 ; 1,0027 ; ;
FREAK ; 39,6261 ; 39,0408 ; 38,6289 ; 38,3504 ; 39,0399 ; 38,1411 ; 40,0957 ; 40,2844 ; 38,6388 ; 39,4938 ; ;
SIFT ; 15,908 ; 16,3835 ; 15,9071 ; 15,6833 ; 14,7298 ; 14,572 ; 15,2541 ; 16,3674 ; 14,9032 ; 14,3735 ; ;
;
;
ORB Descriptor Extrection Time ;
Descriptor ; Frame 1 ; Frame 2 ; Frame 3 ; Frame 4; Frame 5 ; Frame 6 ; Frame 7 ;Frame 8 ; Frame 9 ; Frame 10;
BRISK ; 1,19484 ; 1,38706 ; 1,33648 ; 1,72863 ; 1,44989 ; 1,62661 ; 1,5253 ; 1,51455 ; 1,43641 ; 1,51341 ; ;
BRIEF ; 0,537368 ; 0,512668 ; 0,584679 ; 0,691862 ; 0,514232 ; 0,660687 ; 0,700468 ; 0,587551 ; 0,725377 ; 0,625144 ; ;
ORB ; 4,39402 ; 4,59139 ; 5,04876 ; 4,91365 ; 4,72163 ; 4,52512 ; 4,57509 ; 4,33554 ; 4,49468 ; 4,28487 ; ;
FREAK ; 38,53 ; 38,6818 ; 39,6755 ; 39,5663 ; 37,9886 ; 37,1529 ; 38,3078 ; 39,0149 ; 38,7639 ; 38,6109 ; ;
SIFT ; 40,7353 ; 40,6785 ; 44,9084 ; 44,6755 ; 42,9535 ; 45,3784 ; 46,0614 ; 46,7437 ; 50,8921 ; 48,112 ; ;
;
;
SIFT Descriptor Extrection Time ;
Descriptor ; Frame 1 ; Frame 2 ; Frame 3 ; Frame 4; Frame 5 ; Frame 6 ; Frame 7 ;Frame 8 ; Frame 9 ; Frame 10;
BRISK ; 2,2075 ; 1,56245 ; 1,7584 ; 1,69939 ; 1,72191 ; 1,7211 ; 1,71438 ; 1,77864 ; 1,97638 ; 1,66965 ; ;
BRIEF ; 0,868143 ; 0,758175 ; 0,698753 ; 0,747851 ; 0,753406 ; 0,803527 ; 0,771656 ; 0,798992 ; 0,749046 ; 0,739902 ; ;
FREAK ; 38,8676 ; 40,7454 ; 40,6919 ; 39,7473 ; 39,4449 ; 38,7979 ; 40,9776 ; 40,5066 ; 39,6761 ; 40,3311 ; ;
SIFT ; 74,9837 ; 77,8145 ; 101,462 ; 80,2675 ; 74,8668 ; 76,0746 ; 77,7312 ; 71,2156 ; 75,3872 ; 74,4395 ; ;
;
;
FAST Descriptor Extrection Time ;
Descriptor ; Frame 1 ; Frame 2 ; Frame 3 ; Frame 4; Frame 5 ; Frame 6 ; Frame 7 ;Frame 8 ; Frame 9 ; Frame 10;
BRISK ; 4,25771 ; 4,92311 ; 4,35652 ; 4,3977 ; 3,88611 ; 4,24983 ; 4,41174 ; 4,29997 ; 4,14755 ; 4,32147 ; ;
BRIEF ; 1,70789 ; 1,7763 ; 1,73385 ; 1,7291 ; 1,76806 ; 1,73957 ; 1,67046 ; 1,65121 ; 1,69619 ; 1,66501 ; ;
ORB ; 1,59309 ; 1,62375 ; 1,63516 ; 1,78963 ; 1,50169 ; 1,55871 ; 1,67149 ; 1,59036 ; 1,59574 ; 1,62322 ; ;
FREAK ; 45,0366 ; 42,4948 ; 40,9273 ; 43,1326 ; 42,456 ; 42,0202 ; 41,9782 ; 40,9279 ; 42,1332 ; 42,0375 ; ;
SIFT ; 30,8018 ; 31,1254 ; 29,2513 ; 30,6059 ; 29,3435 ; 30,3483 ; 31,3957 ; 30,2825 ; 29,7795 ; 29,2489 ; ;
;
;
BRISK Descriptor Extrection Time ;
Descriptor ; Frame 1 ; Frame 2 ; Frame 3 ; Frame 4; Frame 5 ; Frame 6 ; Frame 7 ;Frame 8 ; Frame 9 ; Frame 10;
BRISK ; 2,93634 ; 3,07895 ; 3,42587 ; 3,33732 ; 3,27885 ; 3,22015 ; 3,38957 ; 3,18213 ; 3,00075 ; 3,32301 ; ;
BRIEF ; 1,16629 ; 1,08408 ; 1,33512 ; 1,23396 ; 1,19063 ; 1,10516 ; 1,28006 ; 1,16509 ; 1,12489 ; 1,03265 ; ;
ORB ; 4,44831 ; 4,61374 ; 4,47314 ; 4,46253 ; 4,5512 ; 4,15126 ; 4,56626 ; 4,44694 ; 4,16899 ; 4,28419 ; ;
FREAK ; 40,5439 ; 40,2037 ; 39,7157 ; 40,7837 ; 40,4318 ; 40,2546 ; 40,4507 ; 40,8191 ; 40,2788 ; 40,3328 ; ;
SIFT ; 39,6451 ; 38,5559 ; 38,8775 ; 40,7576 ; 40,335 ; 40,6448 ; 41,8105 ; 45,2928 ; 40,8296 ; 37,8016 ; ;
;
;
AKAZE Descriptor Extrection Time ;
Descriptor ; Frame 1 ; Frame 2 ; Frame 3 ; Frame 4; Frame 5 ; Frame 6 ; Frame 7 ;Frame 8 ; Frame 9 ; Frame 10;
BRISK ; 1,94388 ; 1,8373 ; 1,8693 ; 1,86278 ; 3,49172 ; 1,92798 ; 2,14335 ; 2,06484 ; 2,78564 ; 2,03032 ; ;
BRIEF ; 0,891199 ; 0,844191 ; 0,874251 ; 0,943915 ; 0,910199 ; 0,904757 ; 0,791038 ; 0,924845 ; 0,891545 ; 1,11513 ; ;
ORB ; 2,92407 ; 2,88298 ; 3,89643 ; 2,85287 ; 2,81688 ; 2,83117 ; 2,8416 ; 2,56496 ; 2,96609 ; 2,84841 ; ;
FREAK ; 40,8755 ; 40,6661 ; 39,6929 ; 39,1412 ; 40,2633 ; 40,3534 ; 39,9984 ; 39,6852 ; 39,5658 ; 39,7307 ; ;
AKAZE ; 53,2119 ; 68,5788 ; 58,5949 ; 49,5325 ; 59,5883 ; 56,0368 ; 57,1553 ; 53,4985 ; 59,811 ; 56,4385 ; ;
SIFT ; 23,5703 ; 23,9214 ; 22,7873 ; 22,8321 ; 28,7259 ; 22,8595 ; 24,3058 ; 23,3023 ; 25,0749 ; 24,2177 ; ;
;
;
HARRIS Matched KeyPoint ;
Descriptor ; Frame 1 ; Frame 2 ; Frame 3 ; Frame 4; Frame 5 ; Frame 6 ; Frame 7 ;Frame 8 ; Frame 9 ; Frame 10;
BRISK ;  ; 12 ; 10 ; 14 ; 15 ; 16 ; 16 ; 15 ; 23 ; 21 ; ;
BRIEF ;  ; 14 ; 11 ; 15 ; 20 ; 24 ; 26 ; 16 ; 24 ; 23 ; ;
ORB ;  ; 12 ; 12 ; 15 ; 18 ; 24 ; 20 ; 15 ; 24 ; 22 ; ;
FREAK ;  ; 13 ; 13 ; 15 ; 15 ; 17 ; 20 ; 12 ; 21 ; 18 ; ;
SIFT ;  ; 14 ; 11 ; 16 ; 19 ; 22 ; 22 ; 13 ; 24 ; 22 ; ;
;
;
SHITOMASI Matched KeyPoint ;
Descriptor ; Frame 1 ; Frame 2 ; Frame 3 ; Frame 4; Frame 5 ; Frame 6 ; Frame 7 ;Frame 8 ; Frame 9 ; Frame 10;
BRISK ;  ; 97 ; 88 ; 80 ; 90 ; 82 ; 79 ; 86 ; 86 ; 83 ; ;
BRIEF ;  ; 118 ; 111 ; 104 ; 101 ; 104 ; 102 ; 101 ; 110 ; 102 ; ;
ORB ;  ; 108 ; 102 ; 99 ; 102 ; 105 ; 98 ; 99 ; 105 ; 99 ; ;
FREAK ;  ; 87 ; 90 ; 86 ; 88 ; 87 ; 80 ; 81 ; 86 ; 86 ; ;
SIFT ;  ; 115 ; 109 ; 104 ; 103 ; 101 ; 101 ; 97 ; 107 ; 99 ; ;
;
;
ORB Matched KeyPoint ;
Descriptor ; Frame 1 ; Frame 2 ; Frame 3 ; Frame 4; Frame 5 ; Frame 6 ; Frame 7 ;Frame 8 ; Frame 9 ; Frame 10;
BRISK ;  ; 73 ; 74 ; 79 ; 85 ; 79 ; 90 ; 88 ; 86 ; 90 ; ;
BRIEF ;  ; 49 ; 43 ; 45 ; 59 ; 53 ; 76 ; 67 ; 83 ; 65 ; ;
ORB ;  ; 67 ; 70 ; 72 ; 84 ; 91 ; 99 ; 91 ; 91 ; 90 ; ;
FREAK ;  ; 41 ; 36 ; 44 ; 47 ; 44 ; 51 ; 52 ; 47 ; 54 ; ;
SIFT ;  ; 66 ; 79 ; 78 ; 79 ; 82 ; 93 ; 94 ; 93 ; 92 ; ;
;
;
SIFT Matched KeyPoint ;
Descriptor ; Frame 1 ; Frame 2 ; Frame 3 ; Frame 4; Frame 5 ; Frame 6 ; Frame 7 ;Frame 8 ; Frame 9 ; Frame 10;
BRISK ;  ; 63 ; 64 ; 60 ; 65 ; 59 ; 65 ; 64 ; 67 ; 79 ; ;
BRIEF ;  ; 86 ; 76 ; 72 ; 83 ; 69 ; 75 ; 76 ; 69 ; 87 ; ;
FREAK ;  ; 64 ; 70 ; 62 ; 65 ; 59 ; 60 ; 64 ; 65 ; 79 ; ;
SIFT ;  ; 81 ; 79 ; 83 ; 92 ; 90 ; 82 ; 82 ; 100 ; 101 ; ;
;
;
FAST Matched KeyPoint ;
Descriptor ; Frame 1 ; Frame 2 ; Frame 3 ; Frame 4; Frame 5 ; Frame 6 ; Frame 7 ;Frame 8 ; Frame 9 ; Frame 10;
BRISK ;  ; 257 ; 244 ; 247 ; 243 ; 216 ; 253 ; 251 ; 247 ; 251 ; ;
BRIEF ;  ; 321 ; 334 ; 301 ; 336 ; 277 ; 329 ; 326 ; 316 ; 310 ; ;
ORB ;  ; 308 ; 311 ; 301 ; 323 ; 281 ; 316 ; 323 ; 306 ; 315 ; ;
FREAK ;  ; 252 ; 250 ; 240 ; 258 ; 231 ; 268 ; 248 ; 256 ; 251 ; ;
SIFT ;  ; 315 ; 326 ; 301 ; 316 ; 294 ; 328 ; 319 ; 304 ; 302 ; ;
;
;
BRISK Matched KeyPoint ;
Descriptor ; Frame 1 ; Frame 2 ; Frame 3 ; Frame 4; Frame 5 ; Frame 6 ; Frame 7 ;Frame 8 ; Frame 9 ; Frame 10;
BRISK ;  ; 168 ; 169 ; 157 ; 170 ; 171 ; 186 ; 174 ; 168 ; 182 ; ;
BRIEF ;  ; 174 ; 195 ; 182 ; 177 ; 182 ; 193 ; 208 ; 186 ; 179 ; ;
ORB ;  ; 155 ; 167 ; 155 ; 161 ; 156 ; 181 ; 165 ; 170 ; 170 ; ;
FREAK ;  ; 154 ; 173 ; 153 ; 168 ; 158 ; 181 ; 169 ; 175 ; 165 ; ;
SIFT ;  ; 177 ; 187 ; 171 ; 177 ; 168 ; 190 ; 193 ; 173 ; 181 ; ;
;
;
AKAZE Matched KeyPoint ;
Descriptor ; Frame 1 ; Frame 2 ; Frame 3 ; Frame 4; Frame 5 ; Frame 6 ; Frame 7 ;Frame 8 ; Frame 9 ; Frame 10;
BRISK ;  ; 134 ; 124 ; 129 ; 128 ; 130 ; 132 ; 142 ; 144 ; 141 ; ;
BRIEF ;  ; 137 ; 133 ; 130 ; 130 ; 134 ; 146 ; 150 ; 147 ; 150 ; ;
ORB ;  ; 128 ; 128 ; 126 ; 118 ; 129 ; 131 ; 136 ; 136 ; 143 ; ;
FREAK ;  ; 123 ; 128 ; 128 ; 121 ; 122 ; 133 ; 144 ; 145 ; 135 ; ;
AKAZE ;  ; 135 ; 138 ; 132 ; 126 ; 128 ; 146 ; 147 ; 149 ; 148 ; ;
SIFT ;  ; 132 ; 134 ; 129 ; 136 ; 136 ; 147 ; 147 ; 153 ; 149 ; ;
